"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\checkable-option.js", "JavaScript", 84, 58, 19, 161
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\checkable-select.js", "JavaScript", 59, 47, 15, 121
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\conversion-form.js", "JavaScript", 70, 35, 19, 124
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\main-view.js", "JavaScript", 137, 61, 27, 225
"c:\Users\JuliaLind\Desktop\school\L3\public\js\index.js", "JavaScript", 1, 0, 1, 2
"c:\Users\JuliaLind\Desktop\school\L3\public\js\services\ApiService.js", "JavaScript", 23, 28, 10, 61
"c:\Users\JuliaLind\Desktop\school\L3\public\js\services\CurrencyCalculator.js", "JavaScript", 94, 104, 30, 228
"Total", "-", 468, 333, 121, 922
