"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\src\config\ErrorHandler.js", "JavaScript", 4, 0, 30, 2, 36
"c:\Users\JuliaLind\Desktop\school\L3\src\config\create-app.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\config\start-app.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\config\swagger-spec.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\config\swagger.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\controllers\ApiController.js", "JavaScript", 15, 0, 45, 0, 60
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\exrRouter.js", "JavaScript", 0, 0, 0, -1, -1
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\router.js", "JavaScript", 11, 0, 7, 10, 28
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\api\v1\router.js", "JavaScript", 8, 0, 6, 8, 22
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\gui\router.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\src\routes\router.js", "JavaScript", 2, 0, 0, 2, 4
"c:\Users\JuliaLind\Desktop\school\L3\src\server.js", "JavaScript", -10, 0, 0, -2, -12
"c:\Users\JuliaLind\Desktop\school\L3\src\services\ConversionService.js", "JavaScript", -6, 0, 13, -5, 2
"c:\Users\JuliaLind\Desktop\school\L3\src\services\RateService.js", "JavaScript", 0, 0, 44, 1, 45
"c:\Users\JuliaLind\Desktop\school\L3\src\services\SwaggerService.js", "JavaScript", 16, 0, 13, 5, 34
"Total", "-", 40, 0, 158, 25, 223
