"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\test\json\conversion.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\test\json\day.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\test\json\period.json", "JSON", 0, 0, 0, 1, 1
"c:\Users\JuliaLind\Desktop\school\L3\test\utils\functions.js", "JavaScript", 9, 0, 13, 2, 24
"c:\Users\JuliaLind\Desktop\school\L3\test\webapp-services\ApiService.spec.js", "JavaScript", 82, 0, 21, 18, 121
"c:\Users\JuliaLind\Desktop\school\L3\test\webapp-services\CurrencyCalculator.spec.js", "JavaScript", 154, 0, 0, 39, 193
"Total", "-", 245, 0, 34, 62, 341
