"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\checkable-option.js", "JavaScript", 42, 18, 10, 70
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\checkable-select.js", "JavaScript", 61, 41, 13, 115
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\form\conversion-form.js", "JavaScript", 73, 35, 19, 127
"c:\Users\JuliaLind\Desktop\school\L3\public\js\components\main-view.js", "JavaScript", 116, 53, 25, 194
"c:\Users\JuliaLind\Desktop\school\L3\public\js\index.js", "JavaScript", 1, 0, 1, 2
"c:\Users\JuliaLind\Desktop\school\L3\public\js\services\ApiService.js", "JavaScript", 23, 28, 10, 61
"c:\Users\JuliaLind\Desktop\school\L3\public\js\services\CurrencyCalculator.js", "JavaScript", 91, 98, 29, 218
"Total", "-", 407, 273, 107, 787
